iter	RMSE
0	9.259201952
1	8.942750128
2	8.649316596
3	8.367636599
4	8.093339029
5	7.848360913
6	7.598245809
7	7.347325692
8	7.120827159
9	6.893725561
10	6.710883516
11	6.512887031
12	6.31885597
13	6.141074767
14	5.960624525
15	5.794283425
16	5.636679967
17	5.470217351
18	5.326860247
19	5.168104755
20	5.043327619
21	4.907606761
22	4.796656783
23	4.686495758
24	4.579357494
25	4.473935898
26	4.379764644
27	4.292850246
28	4.209157076
29	4.120612783
30	4.035671772
31	3.956509351
32	3.883894535
33	3.806099381
34	3.735046296
35	3.677849056
36	3.621883899
37	3.56515718
38	3.514077307
39	3.463280712
40	3.416358919
41	3.369831827
42	3.324942368
43	3.279992229
44	3.237933097
45	3.195683117
46	3.152779353
47	3.120617142
48	3.086299361
49	3.054095952
50	3.023607186
51	2.99434607
52	2.969292478
53	2.939804945
54	2.91479414
55	2.889004866
56	2.866012578
57	2.846812627
58	2.824371647
59	2.798497403
60	2.779642168
61	2.760436276
62	2.743897362
63	2.726631496
64	2.709273575
65	2.692762416
66	2.677828277
67	2.661943306
68	2.647592211
69	2.629437029
70	2.615320808
71	2.602958626
72	2.591861146
73	2.580659041
74	2.564933677
75	2.552142291
76	2.541786843
77	2.529908826
78	2.518909841
79	2.507738022
80	2.493439561
81	2.485253379
82	2.476984602
83	2.466683994
84	2.459748232
85	2.449625025
86	2.439726774
87	2.433868586
88	2.426796718
89	2.419012673
90	2.410044513
91	2.399505067
92	2.38999234
93	2.381033644
94	2.375746018
95	2.371473956
96	2.368887953
97	2.362805578
98	2.352460992
99	2.347243594
100	2.33988253
101	2.335130866
102	2.322279761
103	2.317042137
104	2.311013713
105	2.307503964
106	2.301712537
107	2.297505832
108	2.291357058
109	2.285568204
110	2.281872783
111	2.278023971
112	2.272845452
113	2.267785239
114	2.255251475
115	2.248693933
116	2.242488514
117	2.239374248
118	2.23476846
119	2.22822004
120	2.221692687
121	2.21761029
122	2.21377734
123	2.209129004
124	2.206104994
125	2.200616706
126	2.192749002
127	2.182337181
128	2.176615353
129	2.172908179
130	2.168549041
131	2.165777719
132	2.161140375
133	2.158449221
134	2.15595479
135	2.149961161
136	2.147236317
137	2.143442723
138	2.137208369
139	2.134120115
140	2.131133419
141	2.127747781
142	2.122686071
143	2.116412933
144	2.112346924
145	2.108507376
146	2.10572722
147	2.101236358
148	2.097062438
149	2.093619498
150	2.089102115
151	2.086745647
152	2.082776236
153	2.076902435
154	2.073540629
155	2.070244197
156	2.063906842
157	2.061676009
158	2.058093143
159	2.05202335
160	2.049066271
161	2.045305503
162	2.041121169
163	2.035851576
164	2.032974077
165	2.029763186
166	2.025375285
167	2.023304361
168	2.017155564
169	2.010660273
170	2.008248562
171	2.004876973
172	2.002130796
173	2.000436753
174	1.994660145
175	1.9889927
176	1.980276581
177	1.975223881
178	1.970554755
179	1.966642123
180	1.962662527
181	1.958912647
182	1.9567596
183	1.955177032
