iter	Passed	Remaining
0	2	2329
1	4	2070
2	6	2022
3	7	1955
4	10	2020
5	12	2075
6	14	2038
7	16	2022
8	18	1983
9	19	1962
10	21	1939
11	23	1912
12	25	1942
13	27	1948
14	29	1959
15	31	1946
16	33	1930
17	35	1921
18	37	1918
19	38	1906
20	40	1905
21	43	1919
22	45	1941
23	47	1947
24	49	1946
25	51	1935
26	53	1923
27	55	1919
28	57	1936
29	60	1943
30	61	1936
31	63	1925
32	65	1913
33	66	1900
34	68	1885
35	69	1869
36	71	1870
37	74	1888
38	76	1889
39	78	1883
40	80	1876
41	82	1879
42	84	1878
43	86	1872
44	104	2213
45	107	2232
46	110	2231
47	112	2230
48	114	2214
49	115	2198
50	117	2181
51	118	2168
52	121	2169
53	124	2174
54	126	2169
55	127	2155
56	129	2137
57	130	2121
58	132	2108
59	133	2097
60	135	2092
61	137	2084
62	139	2079
63	141	2074
64	144	2072
65	145	2063
66	147	2051
67	149	2045
68	151	2046
69	154	2058
70	156	2054
71	158	2044
72	160	2035
73	162	2027
74	164	2028
75	166	2019
76	168	2022
77	171	2024
78	173	2017
79	174	2008
80	176	2002
81	178	2000
82	180	1998
83	183	2000
84	186	2005
85	189	2016
86	191	2009
87	193	2003
88	195	1997
89	196	1990
90	198	1985
91	202	1997
92	204	1998
93	207	1995
94	208	1988
95	210	1981
96	212	1975
97	214	1977
98	218	1986
99	221	1992
100	224	1995
101	226	1991
102	227	1983
103	229	1977
104	232	1980
105	234	1978
106	237	1984
107	240	1985
108	242	1984
109	244	1978
110	252	2021
111	253	2012
112	255	2006
113	256	1997
114	258	1988
115	259	1980
116	262	1981
117	265	1985
118	267	1983
119	269	1976
120	270	1967
121	272	1959
122	273	1951
123	275	1944
124	277	1941
125	279	1941
126	281	1937
127	283	1933
128	285	1927
129	286	1919
130	288	1912
131	289	1904
132	291	1900
133	294	1902
134	296	1900
135	298	1896
136	300	1890
137	301	1884
138	303	1877
139	304	1871
140	306	1864
141	308	1861
142	310	1859
143	312	1857
144	314	1853
145	315	1847
146	317	1840
147	318	1835
148	320	1830
149	322	1825
150	324	1822
151	325	1818
152	328	1818
153	330	1815
154	332	1811
155	334	1808
156	335	1802
157	337	1796
158	339	1793
159	341	1793
160	343	1790
161	344	1784
162	346	1778
163	347	1773
164	349	1768
165	350	1763
166	352	1758
167	354	1754
168	356	1752
169	358	1748
170	359	1744
171	361	1739
172	362	1733
173	364	1728
174	365	1723
175	366	1718
176	368	1714
177	370	1712
178	373	1711
179	374	1707
180	376	1703
181	378	1698
182	379	1695
183	381	1690
184	382	1686
185	384	1681
186	386	1680
187	388	1678
188	390	1675
189	392	1672
190	393	1667
191	395	1663
192	397	1660
193	398	1655
194	399	1650
195	402	1649
196	404	1647
197	406	1645
198	407	1641
199	409	1637
200	411	1633
201	412	1630
202	414	1626
203	415	1622
204	417	1620
205	419	1618
206	421	1615
207	423	1611
208	424	1607
209	426	1604
210	428	1600
211	429	1596
212	430	1592
213	441	1621
214	443	1617
215	444	1613
216	446	1609
217	447	1605
218	449	1603
219	451	1600
220	453	1597
221	454	1593
222	456	1589
223	457	1585
224	459	1581
225	460	1577
226	461	1573
227	463	1568
228	464	1565
229	467	1563
230	468	1559
231	470	1557
232	472	1554
233	474	1551
234	475	1548
235	476	1544
236	478	1540
237	480	1537
238	482	1536
239	484	1533
240	485	1530
241	487	1526
242	488	1522
243	490	1518
244	491	1514
245	492	1511
246	494	1507
247	496	1504
248	498	1502
249	500	1501
250	501	1497
251	503	1493
252	504	1489
253	505	1485
254	507	1482
255	508	1478
256	510	1475
257	512	1473
258	514	1472
259	516	1469
260	517	1465
261	519	1462
262	520	1459
263	522	1455
264	523	1452
265	524	1448
266	526	1445
267	529	1445
268	530	1442
269	532	1439
270	533	1436
271	535	1432
272	536	1429
273	538	1426
274	539	1422
275	541	1419
276	542	1416
277	544	1415
278	546	1412
279	548	1409
280	549	1406
281	550	1402
282	552	1399
283	554	1397
284	556	1394
285	557	1391
286	559	1390
287	561	1388
288	563	1386
289	565	1383
290	566	1380
291	567	1376
292	569	1373
293	570	1370
294	572	1367
295	573	1364
296	576	1363
297	577	1361
298	579	1358
299	580	1355
300	582	1352
301	583	1349
302	585	1346
303	586	1343
304	588	1340
305	590	1338
306	592	1337
307	594	1335
308	595	1332
309	597	1329
310	598	1326
311	600	1323
312	601	1320
313	602	1317
314	604	1314
315	606	1312
316	608	1310
317	610	1308
318	611	1305
319	612	1302
320	614	1299
321	615	1296
322	617	1294
323	618	1291
324	620	1288
325	622	1286
326	624	1285
327	626	1282
328	627	1280
329	629	1277
330	630	1274
331	632	1272
332	634	1271
333	637	1270
334	639	1269
335	641	1267
336	642	1264
337	644	1262
338	645	1259
339	647	1256
340	648	1253
341	650	1250
342	651	1247
343	653	1246
344	655	1244
345	657	1242
346	659	1240
347	660	1237
348	662	1235
349	663	1232
350	664	1229
351	666	1226
352	667	1224
353	670	1222
354	671	1220
355	673	1217
356	674	1214
357	675	1212
358	677	1209
359	679	1207
360	680	1204
361	681	1201
362	683	1199
363	686	1198
364	688	1197
365	689	1194
366	691	1192
367	692	1189
368	694	1187
369	695	1184
370	697	1181
371	698	1178
372	700	1177
373	702	1175
374	704	1174
375	706	1171
376	707	1169
377	708	1166
378	710	1163
379	711	1160
380	712	1158
381	714	1156
382	716	1154
383	718	1152
384	720	1150
385	721	1147
386	722	1145
387	724	1142
388	725	1139
389	727	1137
390	728	1134
391	729	1132
392	732	1131
393	734	1129
394	735	1126
395	737	1124
396	738	1121
397	739	1118
398	741	1116
399	742	1113
400	744	1111
401	745	1108
402	747	1107
403	749	1105
404	751	1103
405	752	1101
406	754	1099
407	756	1097
408	757	1094
409	759	1092
410	760	1090
411	762	1088
412	765	1087
413	767	1085
414	768	1083
415	770	1081
416	771	1078
417	772	1076
418	774	1073
419	775	1071
420	777	1069
421	780	1069
422	782	1067
423	784	1065
424	785	1063
425	787	1060
426	788	1058
427	790	1056
428	791	1053
429	793	1052
430	795	1050
431	798	1049
432	801	1048
433	802	1047
